Date,PM2.5,PM10
02/25/19,15.992857142857144,32.285714285714285
02/25/20,15.778571428571428,36.42857142857143
02/25/21,14.825,33.0
02/26/14,9.625,25.125
02/26/15,15.9375,39.5
02/26/16,16.5625,39.75
02/26/18,11.85,30.5
02/26/20,14.507692307692308,40.875
02/26/21,14.180000000000001,37.8
02/26/24,10.95,20.0
02/27/14,4.875,12.25
02/27/15,12.875,41.25
02/27/17,7.2875,13.875
02/27/18,5.525,17.5
02/27/20,13.283333333333333,36.333333333333336
02/27/23,10.175,12.125
02/28/14,7.333333333333333,13.0
02/28/17,9.6,15.5
02/28/18,13.475,20.25
02/28/20,12.23,33.2
02/28/23,6.06875,6.0625
02/28/24,14.149999999999999,32.5
02/29/16,20.285714285714285,50.0
02/29/24,10.425,20.875
03/01/16,31.428571428571427,67.5
03/01/17,17.2875,22.25
03/01/18,12.15,35.666666666666664
03/01/19,18.275,26.5
03/01/21,11.0,28.5
03/01/23,4.94375,9.1875
03/02/15,3.25,7.25
03/02/16,32.833333333333336,72.0
03/02/17,11.5875,22.75
03/02/18,11.125,16.166666666666668
03/02/20,9.8,26.8
03/02/21,11.85,28.666666666666668
03/02/22,17.933333333333334,49.0
03/02/23,7.175,10.125
03/03/14,14.125,26.25
03/03/15,7.25,13.25
03/03/16,21.5,41.666666666666664
03/03/17,9.2875,24.75
03/03/20,6.44,14.0
03/03/21,12.833333333333334,34.0
03/03/22,15.84,29.285714285714285
03/03/23,13.649999999999999,20.083333333333332
03/04/14,17.125,32.0
03/04/15,12.0625,23.125
03/04/16,15.75,43.0
03/04/19,4.625,17.5
03/04/21,14.9,20.0
03/04/22,6.599999999999999,12.75
03/04/24,7.55,18.2
03/05/14,21.833333333333332,40.0
03/05/15,15.066666666666666,28.5
03/05/18,13.13125,22.625
03/05/21,18.25,38.0
03/05/24,5.91875,16.0
03/06/14,22.4,38.6
03/06/15,11.0625,29.875
03/06/17,7.45625,14.5
03/06/18,9.60625,22.125
03/06/23,5.807142857142857,9.857142857142858
03/06/24,4.15,14.625
03/07/14,15.2,31.0
03/07/16,6.4,22.8
03/07/17,12.39375,22.375
03/07/18,12.7375,32.875
03/07/22,15.9,24.0
03/07/23,7.95,15.5
03/07/24,6.2875,9.125
03/08/16,8.375,15.25
03/08/17,15.700000000000001,31.25
03/08/18,14.51875,41.125
03/08/21,6.55,19.0
03/08/23,11.2125,20.375
03/08/24,8.3125,15.0
03/09/15,21.933333333333334,50.25
03/09/16,8.875,26.25
03/09/17,12.34375,34.75
03/09/18,10.8375,32.625
03/09/21,10.63125,23.875
03/09/23,13.85,30.0
03/10/14,7.285714285714286,18.857142857142858
03/10/15,36.083333333333336,57.666666666666664
03/10/16,12.785714285714286,36.142857142857146
03/10/17,21.650000000000002,44.0
03/10/21,4.625,6.125
03/10/23,6.470000000000001,9.0
03/11/14,13.666666666666666,31.833333333333332
03/11/15,27.9375,58.75
03/11/16,10.8,30.6
03/11/20,7.4,19.0
03/11/21,4.1,3.5
03/11/24,7.05,18.6875
03/12/14,22.0,50.166666666666664
03/12/15,14.1875,28.25
03/12/18,10.0125,19.75
03/12/19,6.45,25.0
03/12/20,6.8999999999999995,20.0
03/12/21,10.691666666666668,15.0
03/12/24,5.542857142857143,19.5
03/13/14,13.333333333333334,31.833333333333332
03/13/15,13.8125,25.25
03/13/17,46.05833333333334,60.0
