School,Street Address,Street Zip,Latitude,Longitude
El Rincon Elementary,11177 Overland Ave.,90230-5454,33.994838,-118.390451
Farragut Elementary,10820 Farragut Dr.,90230-4107,34.007624,-118.400098
La Ballona Elementary,10915 Washington Blvd.,90232-4045,34.013188,-118.4095
Linwood E. Howe Elementary,4100 Irving Pl.,90232-2812,34.02174,-118.39268
Park Century Elementary,3939 Landmark St.,90232-2315,34.026432,-118.387712
Ready Global Academy (Online School),3817 Albright Ave.,90066-4001,34.010193,-118.420623
Summit View–Westside,12101 W. Washington Blvd,90066-5501,33.997856,-118.424434
The Willows Community School,8509 Higuera St.,90232-2521,34.022648,-118.380611
Turning Point School,8780 National Blvd.,90232-2348,34.026979,-118.384777
Old River Elementary,11995 Old River School Rd.,90242-2155,33.938442,-118.155349
St. Pius X St. Matthias Academy,7851 Gardendale St.,90242-4121,33.919907,-118.15934
Stauffer (Mary R.) Middle,11985 Old River School Rd.,90242-2155,33.938547,-118.155273
Arena High (Continuation),630 Arena St.,90245-3036,33.923914,-118.412306
Center Street Elementary,700 Center St.,90245-3207,33.925041,-118.404789
El Segundo High,640 Main St.,90245-3057,33.924213,-118.415885
El Segundo Middle,332 Center St.,90245-4047,33.920105,-118.404774
Fusion Academy - Manhattan Beach,"2101 Rosecrans Ave., Ste. 1225",90245-4786,33.90267,-118.387912
Richmond Street Elementary,615 Richmond St.,90245-2283,33.923861,-118.417243
ABC School,"116 N Artsakh Ave , Ste. 100",91206-4771,34.146783,-118.253828
Abraham Lincoln Elementary,4310 New York Ave.,91214-2567,34.228069,-118.252981
Anderson W. Clark Magnet High,4747 New York Ave.,91214-1841,34.236926,-118.253058
Armenian Fairytale,329 N Verdugo Rd,91206-3944,34.150576,-118.237042
Armenian Sisters' Academy of Los Angeles,2361 Florencita Ave.,91020-1817,34.208053,-118.230052
"Artek Child Education Center, Inc.",546 West BRd.way,91204,34.146494,-118.266248
Balboa Elementary,1844 Bel Aire Dr.,91201-1173,34.180304,-118.285533
Benjamin Franklin Elementary,1610 Lake St.,91201-2610,34.162398,-118.296429
Cerritos Elementary,120 East Cerritos Ave.,91205-3107,34.125506,-118.25446
Chamlian Armenian School,4444 Lowell Ave.,91214-2366,34.238761,-118.266077
Cloud Preschool,4444 Cloud Ave.,91214-3440,34.227043,-118.246412
College View,1700 East Mountain St.,91207-1246,34.164915,-118.230062
Columbus Elementary,425 West Milford St.,91203-1708,34.152678,-118.262181
Crescenta Valley High,2900 Community Ave.,91214-3471,34.223671,-118.242201
Daily (Allan F.) High (Continuation),220 North Kenwood,91206-4209,34.1485,-118.2513
Dunsmore Elementary,4717 Dunsmore Ave.,91214-1814,34.239368,-118.257417
EDEN ACADEMY,334 N Pacific Ave,91203-2129,34.151047,-118.264392
Eleanor J. Toll Middle,700 Glenwood Rd.,91202-1524,34.165202,-118.270035
Elliott Institute,2506 Foothill Blvd,91214-3506,34.219658,-118.233223
First Steps,6245 Honolulu Ave,91214-2347,34.232769,-118.268123
Glendale Adventist Academy,700 Kimlin Dr,91206-1641,34.156987,-118.226713
Glendale High,1440 East Broadway,91205-1503,34.146175,-118.23259
Glenoaks Elementary,2015 East Glenoaks Blvd.,91206-2911,34.151509,-118.222366
Grand Educational Centre,725 E BRd.way,91205,34.142508,-118.255075
Grand Stage Dance Inc,725 E BRd.way,91205,34.142508,-118.255075
Herbert Hoover High,651 Glenwood Rd.,91202-1552,34.165339,-118.270454
Holy Family Elementary,400 South Louise St.,91205-1624,34.141499,-118.252378
Horace Mann Elementary,501 East Acacia Ave.,91205-2823,34.134956,-118.24988
Incarnation Elementary,123 West Glenoaks Blvd.,91202-2908,34.159846,-118.255525
Jewel City Community Day,440 West Lomita,91204-1512,34.139883,-118.261514
John C. Fremont Elementary,3320 Las Palmas Ave.,91208-1525,34.199576,-118.232446
John Marshall Elementary,1201 East Broadway,91205-1407,34.146261,-118.239543
John Muir Elementary,912 South Chevy Chase Dr.,91205-2540,34.133801,-118.24315
JT Academy of Secondary Education,3155 Glendale Blvd Ste 1097,90039-1805,34.117396,-118.26205
Kids Jungle Child Care,1234 S. Glendale Ave.,91205-2818,34.131356,-118.251892
La Crescenta Elementary,4343 La Crescenta Ave.,91214-3806,34.220534,-118.240006
La Crescenta Montessori school,3811 foothill,91214-1619,34.238355,-118.262324
Mark Keppel Elementary,730 Glenwood Rd.,91202-1524,34.165701,-118.272595
Monte Vista Elementary,2620 Orange Ave.,91214-2199,34.230815,-118.236245
Montrose Christian Montessori School,2545 Honolulu Ave,91020-1805,34.208614,-118.234854
Mountain Avenue Elementary,2307 Mountain Ave.,91214-3135,34.224123,-118.228127
Pacific Avenue - Early Bird Preschool,440 West Lomita Ave.,91204-1512,34.139932,-118.262224
R. D. White Elementary,744 East Doran St.,91206-2422,34.15457,-118.246119
Robbin's Nest Preschool and Kindergarten,2912 Honolulu Ave.,91214-3909,34.212793,-118.242426
Rosemont Middle,4725 Rosemont Ave.,91214-3146,34.226227,-118.235178
Salem Lutheran School,1211 N. Brand Blvd.,91202-1959,34.16436,-118.255563
St. James -Holy Redeemer School,4635 Dunsmore Ave.,91214-1812,34.238082,-118.257411
Theodore Roosevelt Middle,222 East Acacia Ave.,91206-2805,34.134711,-118.253528
Thomas Edison Elementary,435 South Pacific Ave.,91204-1441,34.140568,-118.264487
Thomas Jefferson Elementary,1540 Fifth St.,91201-1925,34.170299,-118.285841
